,Search Term,BR,MX,GB,FR,DE,RU,JP,AU,EG,VN,IN,TR,CN,Avg
0,Election Results,0.23529411764705882,0.0784313725490196,0.49019607843137253,0.19607843137254902,0.0784313725490196,0.7843137254901961,0.27450980392156865,0.17647058823529413,0.0784313725490196,0.43137254901960786,1.3333333333333333,0.1568627450980392,0.1568627450980392,0.3438914027149321
1,Coronavirus,12.470588235294118,9.07843137254902,16.313725490196077,13.294117647058824,22.88235294117647,10.176470588235293,12.784313725490197,9.470588235294118,10.843137254901961,12.862745098039216,14.196078431372548,14.254901960784315,8.901960784313726,12.886877828054297
2,Stimulus,9.431372549019608,7.549019607843137,19.372549019607842,18.15686274509804,7.235294117647059,14.96078431372549,12.882352941176471,17.764705882352942,19.725490196078432,23.333333333333332,19.470588235294116,13.705882352941176,17.470588235294116,15.466063348416293
3,Unemployment,30.45098039215686,27.137254901960784,14.96078431372549,21.49019607843137,21.215686274509803,38.84313725490196,30.45098039215686,18.15686274509804,48.31372549019608,19.764705882352942,32.68627450980392,27.019607843137255,43.96078431372549,28.803921568627448
4,Iran,40.27450980392157,12.137254901960784,24.941176470588236,13.098039215686274,29.49019607843137,16.647058823529413,16.137254901960784,17.294117647058822,20.568627450980394,16.176470588235293,13.784313725490197,18.470588235294116,32.05882352941177,20.852187028657614
5,Elon Musk,7.686274509803922,10.176470588235293,9.901960784313726,7.352941176470588,6.901960784313726,16.41176470588235,12.882352941176471,6.96078431372549,14.294117647058824,10.137254901960784,16.313725490196077,16.235294117647058,20.45098039215686,11.977375565610858
6,Simp,19.15686274509804,38.549019607843135,7.0588235294117645,18.03921568627451,11.705882352941176,21.41176470588235,25.92156862745098,17.333333333333332,29.03921568627451,30.49019607843137,24.176470588235293,25.80392156862745,47.90196078431372,24.352941176470587
7,Furlough,22.11764705882353,20.431372549019606,12.019607843137255,16.49019607843137,18.725490196078432,23.705882352941178,17.823529411764707,16.03921568627451,20.49019607843137,24.862745098039216,7.509803921568627,27.372549019607842,24.49019607843137,19.390648567119154
8,Among Us,4.96078431372549,8.392156862745098,8.03921568627451,17.07843137254902,10.823529411764707,7.2745098039215685,32.294117647058826,2.6666666666666665,6.745098039215686,5.529411764705882,4.450980392156863,14.705882352941176,16.07843137254902,10.69532428355958
9,Parasite,24.11764705882353,36.80392156862745,13.862745098039216,10.607843137254902,23.019607843137255,43.529411764705884,31.96078431372549,11.07843137254902,26.529411764705884,17.823529411764707,7.019607843137255,13.882352941176471,50.333333333333336,23.889894419306184
10,Black Panther,5.215686274509804,2.392156862745098,1.2549019607843137,2.784313725490196,2.823529411764706,7.980392156862745,2.843137254901961,0.9411764705882353,5.254901960784314,2.156862745098039,1.9607843137254901,2.3333333333333335,5.627450980392157,3.3514328808446456
11,Tiger King,17.176470588235293,23.80392156862745,9.529411764705882,13.529411764705882,14.686274509803921,19.823529411764707,25.666666666666668,5.627450980392157,21.96078431372549,30.333333333333332,28.352941176470587,20.098039215686274,22.607843137254903,19.476621417797894
12,Ozark,8.372549019607844,9.862745098039216,10.666666666666666,10.647058823529411,11.215686274509803,23.470588235294116,26.215686274509803,13.313725490196079,22.294117647058822,25.745098039215687,7.372549019607843,16.254901960784313,43.90196078431372,17.641025641025642
13,Hurricane,23.96078431372549,8.03921568627451,12.196078431372548,24.137254901960784,19.725490196078432,35.90196078431372,12.156862745098039,12.627450980392156,22.88235294117647,50.294117647058826,28.294117647058822,38.07843137254902,20.823529411764707,23.778280542986426
14,Joker,15.764705882352942,6.764705882352941,15.823529411764707,8.843137254901961,9.058823529411764,13.803921568627452,17.235294117647058,11.27450980392157,15.27450980392157,11.666666666666666,9.07843137254902,16.50980392156863,34.96078431372549,14.312217194570138
15,Boomer,13.313725490196079,17.45098039215686,13.627450980392156,15.509803921568627,16.84313725490196,37.8235294117647,45.07843137254902,14.941176470588236,50.23529411764706,38.07843137254902,11.686274509803921,25.745098039215687,64.45098039215686,28.060331825037704
16,Brexit,14.176470588235293,11.686274509803921,8.470588235294118,8.137254901960784,10.549019607843137,13.862745098039216,9.784313725490197,7.352941176470588,15.07843137254902,19.686274509803923,5.470588235294118,9.784313725490197,24.529411764705884,12.197586726998491
17,Avg,15.816608996539795,14.725490196078432,11.678200692041521,12.90542099192618,13.940023068050749,20.377162629757784,19.55247981545559,10.765859284890427,20.565167243367934,19.96309111880046,13.71510957324106,17.67128027681661,28.159169550173008,16.91038949516458
